,file,shot,start_s,end_s,start,end
8406,5253646087419594905.xml,1797,6057.16,6059.17,01:40:57:16,01:40:59:17
8407,5253646087419594905.xml,1798,6059.18,6061.18,01:40:59:18,01:41:01:18
8408,5253646087419594905.xml,1799,6061.19,6062.19,01:41:01:19,01:41:02:19
8409,5253646087419594905.xml,1800,6062.2,6065.17,01:41:02:20,01:41:05:17
8410,5253646087419594905.xml,1801,6065.18,6067.16,01:41:05:18,01:41:07:16
8411,5253646087419594905.xml,1802,6067.17,6072.1,01:41:07:17,01:41:12:10
8412,5253646087419594905.xml,1803,6072.11,6073.11,01:41:12:11,01:41:13:11
8413,5253646087419594905.xml,1804,6073.12,6077.1,01:41:13:12,01:41:17:10
8414,5253646087419594905.xml,1805,6077.11,6080.14,01:41:17:11,01:41:20:14
8415,5253646087419594905.xml,1806,6080.15,6083.08,01:41:20:15,01:41:23:08
8416,5253646087419594905.xml,1807,6083.09,6085.03,01:41:23:09,01:41:25:03
8417,5253646087419594905.xml,1808,6085.04,6086.16,01:41:25:04,01:41:26:16
8418,5253646087419594905.xml,1809,6086.17,6088.22,01:41:26:17,01:41:28:22
8419,5253646087419594905.xml,1810,6088.23,6089.24,01:41:28:23,01:41:29:24
8420,5253646087419594905.xml,1811,6090.0,6090.19,01:41:30:00,01:41:30:19
8421,5253646087419594905.xml,1812,6090.2,6093.12,01:41:30:20,01:41:33:12
8422,5253646087419594905.xml,1813,6093.13,6094.16,01:41:33:13,01:41:34:16
8423,5253646087419594905.xml,1814,6094.17,6095.19,01:41:34:17,01:41:35:19
8424,5253646087419594905.xml,1815,6095.2,6097.04,01:41:35:20,01:41:37:04
8425,5253646087419594905.xml,1816,6097.05,6098.05,01:41:37:05,01:41:38:05
8426,5253646087419594905.xml,1817,6098.06,6103.15,01:41:38:06,01:41:43:15
8427,5253646087419594905.xml,1818,6103.16,6104.08,01:41:43:16,01:41:44:08
8428,5253646087419594905.xml,1819,6104.09,6107.09,01:41:44:09,01:41:47:09
8429,5253646087419594905.xml,1820,6107.1,6108.04,01:41:47:10,01:41:48:04
8430,5253646087419594905.xml,1821,6108.05,6109.03,01:41:48:05,01:41:49:03
8431,5253646087419594905.xml,1822,6109.04,6109.21,01:41:49:04,01:41:49:21
8432,5253646087419594905.xml,1823,6109.22,6110.06,01:41:49:22,01:41:50:06
8433,5253646087419594905.xml,1824,6110.07,6110.23,01:41:50:07,01:41:50:23
8434,5253646087419594905.xml,1825,6110.24,6111.11,01:41:50:24,01:41:51:11
8435,5253646087419594905.xml,1826,6111.12,6112.05,01:41:51:12,01:41:52:05
8436,5253646087419594905.xml,1827,6112.06,6113.05,01:41:52:06,01:41:53:05
8437,5253646087419594905.xml,1828,6113.06,6113.11,01:41:53:06,01:41:53:11
8438,5253646087419594905.xml,1829,6113.12,6115.04,01:41:53:12,01:41:55:04
8439,5253646087419594905.xml,1830,6115.05,6116.14,01:41:55:05,01:41:56:14
8440,5253646087419594905.xml,1831,6116.15,6117.19,01:41:56:15,01:41:57:19
8441,5253646087419594905.xml,1832,6117.2,6119.07,01:41:57:20,01:41:59:07
8442,5253646087419594905.xml,1833,6119.08,6121.13,01:41:59:08,01:42:01:13
8443,5253646087419594905.xml,1834,6121.14,6123.11,01:42:01:14,01:42:03:11
8444,5253646087419594905.xml,1835,6123.12,6124.16,01:42:03:12,01:42:04:16
8445,5253646087419594905.xml,1836,6124.17,6126.03,01:42:04:17,01:42:06:03
8446,5253646087419594905.xml,1837,6126.04,6127.09,01:42:06:04,01:42:07:09
8447,5253646087419594905.xml,1838,6127.1,6128.23,01:42:07:10,01:42:08:23
8448,5253646087419594905.xml,1839,6128.24,6139.19,01:42:08:24,01:42:19:19
8449,5253646087419594905.xml,1840,6139.2,6141.14,01:42:19:20,01:42:21:14
8450,5253646087419594905.xml,1841,6141.15,6143.09,01:42:21:15,01:42:23:09
8451,5253646087419594905.xml,1842,6143.1,6146.11,01:42:23:10,01:42:26:11
8452,5253646087419594905.xml,1843,6146.12,6148.07,01:42:26:12,01:42:28:07
8453,5253646087419594905.xml,1844,6148.08,6150.16,01:42:28:08,01:42:30:16
8454,5253646087419594905.xml,1845,6150.17,6153.08,01:42:30:17,01:42:33:08
8455,5253646087419594905.xml,1846,6153.09,6165.24,01:42:33:09,01:42:45:24
8456,5253646087419594905.xml,1847,6166.0,6168.08,01:42:46:00,01:42:48:08
8457,5253646087419594905.xml,1848,6168.09,6172.15,01:42:48:09,01:42:52:15
8458,5253646087419594905.xml,1849,6172.16,6176.0,01:42:52:16,01:42:56:00
8459,5253646087419594905.xml,1850,6176.01,6179.02,01:42:56:01,01:42:59:02
8460,5253646087419594905.xml,1851,6179.03,6180.15,01:42:59:03,01:43:00:15
8461,5253646087419594905.xml,1852,6180.16,6182.18,01:43:00:16,01:43:02:18
8462,5253646087419594905.xml,1853,6182.19,6185.0,01:43:02:19,01:43:05:00
8463,5253646087419594905.xml,1854,6185.01,6198.23,01:43:05:01,01:43:18:23
8464,5253646087419594905.xml,1855,6198.24,6200.01,01:43:18:24,01:43:20:01
8465,5253646087419594905.xml,1856,6200.02,6218.13,01:43:20:02,01:43:38:13
8466,5253646087419594905.xml,1857,6218.14,6236.15,01:43:38:14,01:43:56:15
8467,5253646087419594905.xml,1858,6236.16,6238.06,01:43:56:16,01:43:58:06
8468,5253646087419594905.xml,1859,6238.07,6239.23,01:43:58:07,01:43:59:23
8469,5253646087419594905.xml,1860,6239.24,6241.21,01:43:59:24,01:44:01:21
8470,5253646087419594905.xml,1861,6241.22,6246.17,01:44:01:22,01:44:06:17
8471,5253646087419594905.xml,1862,6246.18,6248.06,01:44:06:18,01:44:08:06
8472,5253646087419594905.xml,1863,6248.07,6249.14,01:44:08:07,01:44:09:14
8473,5253646087419594905.xml,1864,6249.15,6250.09,01:44:09:15,01:44:10:09
8474,5253646087419594905.xml,1865,6250.1,6251.08,01:44:10:10,01:44:11:08
8475,5253646087419594905.xml,1866,6251.09,6253.06,01:44:11:09,01:44:13:06
8476,5253646087419594905.xml,1867,6253.07,6255.01,01:44:13:07,01:44:15:01
8477,5253646087419594905.xml,1868,6255.02,6256.08,01:44:15:02,01:44:16:08
8478,5253646087419594905.xml,1869,6256.09,6258.02,01:44:16:09,01:44:18:02
8479,5253646087419594905.xml,1870,6258.03,6259.2,01:44:18:03,01:44:19:20
8480,5253646087419594905.xml,1871,6259.21,6266.09,01:44:19:21,01:44:26:09
8481,5253646087419594905.xml,1872,6266.1,6269.0,01:44:26:10,01:44:29:00
8482,5253646087419594905.xml,1873,6269.01,6271.04,01:44:29:01,01:44:31:04
8483,5253646087419594905.xml,1874,6271.05,6274.07,01:44:31:05,01:44:34:07
8484,5253646087419594905.xml,1875,6274.08,6276.0,01:44:34:08,01:44:36:00
8485,5253646087419594905.xml,1876,6276.01,6279.19,01:44:36:01,01:44:39:19
8486,5253646087419594905.xml,1877,6279.2,6281.16,01:44:39:20,01:44:41:16
8487,5253646087419594905.xml,1878,6281.17,6282.0,01:44:41:17,01:44:42:00
8488,5253646087419594905.xml,1879,6282.01,6290.0,01:44:42:01,01:44:50:00
8489,5253646087419594905.xml,1880,6290.01,6291.14,01:44:50:01,01:44:51:14
8490,5253646087419594905.xml,1881,6291.15,6294.09,01:44:51:15,01:44:54:09
8491,5253646087419594905.xml,1882,6294.1,6295.13,01:44:54:10,01:44:55:13
8492,5253646087419594905.xml,1883,6295.14,6304.23,01:44:55:14,01:45:04:23
8493,5253646087419594905.xml,1884,6304.24,6305.06,01:45:04:24,01:45:05:06
8494,5253646087419594905.xml,1885,6305.07,6306.18,01:45:05:07,01:45:06:18
8495,5253646087419594905.xml,1886,6306.19,6313.14,01:45:06:19,01:45:13:14
8496,5253646087419594905.xml,1887,6313.15,6315.01,01:45:13:15,01:45:15:01
8497,5253646087419594905.xml,1888,6315.02,6315.06,01:45:15:02,01:45:15:06
8498,5253646087419594905.xml,1889,6315.07,6315.23,01:45:15:07,01:45:15:23
8499,5253646087419594905.xml,1890,6315.24,6316.16,01:45:15:24,01:45:16:16
8500,5253646087419594905.xml,1891,6316.17,6318.19,01:45:16:17,01:45:18:19
8501,5253646087419594905.xml,1892,6318.2,6321.24,01:45:18:20,01:45:21:24
8502,5253646087419594905.xml,1893,6322.0,6330.15,01:45:22:00,01:45:30:15
8503,5253646087419594905.xml,1894,6330.16,6336.23,01:45:30:16,01:45:36:23
8504,5253646087419594905.xml,1895,6336.24,6346.11,01:45:36:24,01:45:46:11
8505,5253646087419594905.xml,1896,6346.12,6350.04,01:45:46:12,01:45:50:04
8506,5253646087419594905.xml,1897,6350.05,6352.23,01:45:50:05,01:45:52:23
8507,5253646087419594905.xml,1898,6352.24,6355.02,01:45:52:24,01:45:55:02
8508,5253646087419594905.xml,1899,6355.03,6360.04,01:45:55:03,01:46:00:04
8509,5253646087419594905.xml,1900,6360.05,6372.22,01:46:00:05,01:46:12:22
8510,5253646087419594905.xml,1901,6372.23,6373.24,01:46:12:23,01:46:13:24
8511,5253646087419594905.xml,1902,6374.0,6375.19,01:46:14:00,01:46:15:19
8512,5253646087419594905.xml,1903,6375.2,6377.14,01:46:15:20,01:46:17:14
8513,5253646087419594905.xml,1904,6377.15,6385.13,01:46:17:15,01:46:25:13
8514,5253646087419594905.xml,1905,6385.14,6386.18,01:46:25:14,01:46:26:18
8515,5253646087419594905.xml,1906,6386.19,6388.0,01:46:26:19,01:46:28:00
8516,5253646087419594905.xml,1907,6388.01,6391.22,01:46:28:01,01:46:31:22
8517,5253646087419594905.xml,1908,6391.23,6393.01,01:46:31:23,01:46:33:01
8518,5253646087419594905.xml,1909,6393.02,6395.0,01:46:33:02,01:46:35:00
8519,5253646087419594905.xml,1910,6395.01,6397.18,01:46:35:01,01:46:37:18
8520,5253646087419594905.xml,1911,6397.19,6399.24,01:46:37:19,01:46:39:24
8521,5253646087419594905.xml,1912,6400.0,6400.24,01:46:40:00,01:46:40:24
8522,5253646087419594905.xml,1913,6401.0,6402.21,01:46:41:00,01:46:42:21
8523,5253646087419594905.xml,1914,6402.22,6405.21,01:46:42:22,01:46:45:21
8524,5253646087419594905.xml,1915,6405.22,6408.23,01:46:45:22,01:46:48:23
8525,5253646087419594905.xml,1916,6408.24,6424.09,01:46:48:24,01:47:04:09
8526,5253646087419594905.xml,1917,6424.1,6428.03,01:47:04:10,01:47:08:03
8527,5253646087419594905.xml,1918,6428.04,6430.01,01:47:08:04,01:47:10:01
8528,5253646087419594905.xml,1919,6430.02,6431.14,01:47:10:02,01:47:11:14
8529,5253646087419594905.xml,1920,6431.15,6432.17,01:47:11:15,01:47:12:17
8530,5253646087419594905.xml,1921,6432.18,6434.21,01:47:12:18,01:47:14:21
8531,5253646087419594905.xml,1922,6434.22,6441.24,01:47:14:22,01:47:21:24
8532,5253646087419594905.xml,1923,6442.0,6444.15,01:47:22:00,01:47:24:15
8533,5253646087419594905.xml,1924,6444.16,6448.03,01:47:24:16,01:47:28:03
8534,5253646087419594905.xml,1925,6448.04,6449.17,01:47:28:04,01:47:29:17
8535,5253646087419594905.xml,1926,6449.18,6450.09,01:47:29:18,01:47:30:09
8536,5253646087419594905.xml,1927,6450.1,6452.11,01:47:30:10,01:47:32:11
8537,5253646087419594905.xml,1928,6452.12,6459.06,01:47:32:12,01:47:39:06
8538,5253646087419594905.xml,1929,6459.07,6463.15,01:47:39:07,01:47:43:15
8539,5253646087419594905.xml,1930,6463.16,6468.05,01:47:43:16,01:47:48:05
8540,5253646087419594905.xml,1931,6468.06,6473.05,01:47:48:06,01:47:53:05
8541,5253646087419594905.xml,1932,6473.06,6480.21,01:47:53:06,01:48:00:21
8542,5253646087419594905.xml,1933,6480.22,6484.03,01:48:00:22,01:48:04:03
8543,5253646087419594905.xml,1934,6484.04,6489.14,01:48:04:04,01:48:09:14
8544,5253646087419594905.xml,1935,6489.15,6491.04,01:48:09:15,01:48:11:04
8545,5253646087419594905.xml,1936,6491.05,6492.2,01:48:11:05,01:48:12:20
8546,5253646087419594905.xml,1937,6492.21,6494.21,01:48:12:21,01:48:14:21
8547,5253646087419594905.xml,1938,6494.22,6497.0,01:48:14:22,01:48:17:00
8548,5253646087419594905.xml,1939,6497.01,6503.21,01:48:17:01,01:48:23:21
8549,5253646087419594905.xml,1940,6503.22,6510.04,01:48:23:22,01:48:30:04
8550,5253646087419594905.xml,1941,6510.05,6511.15,01:48:30:05,01:48:31:15
8551,5253646087419594905.xml,1942,6511.16,6512.22,01:48:31:16,01:48:32:22
8552,5253646087419594905.xml,1943,6512.23,6515.15,01:48:32:23,01:48:35:15
8553,5253646087419594905.xml,1944,6515.16,6519.15,01:48:35:16,01:48:39:15
8554,5253646087419594905.xml,1945,6519.16,6520.18,01:48:39:16,01:48:40:18
8555,5253646087419594905.xml,1946,6520.19,6522.12,01:48:40:19,01:48:42:12
8556,5253646087419594905.xml,1947,6522.13,6523.16,01:48:42:13,01:48:43:16
8557,5253646087419594905.xml,1948,6523.17,6525.12,01:48:43:17,01:48:45:12
8558,5253646087419594905.xml,1949,6525.13,6530.04,01:48:45:13,01:48:50:04
8559,5253646087419594905.xml,1950,6530.05,6534.2,01:48:50:05,01:48:54:20
8560,5253646087419594905.xml,1951,6534.21,6536.21,01:48:54:21,01:48:56:21
8561,5253646087419594905.xml,1952,6536.22,6537.21,01:48:56:22,01:48:57:21
8562,5253646087419594905.xml,1953,6537.22,6540.14,01:48:57:22,01:49:00:14
8563,5253646087419594905.xml,1954,6540.15,6541.17,01:49:00:15,01:49:01:17
8564,5253646087419594905.xml,1955,6541.18,6546.18,01:49:01:18,01:49:06:18
8565,5253646087419594905.xml,1956,6546.19,6550.0,01:49:06:19,01:49:10:00
8566,5253646087419594905.xml,1957,6550.01,6553.11,01:49:10:01,01:49:13:11
8567,5253646087419594905.xml,1958,6553.12,6556.01,01:49:13:12,01:49:16:01
8568,5253646087419594905.xml,1959,6556.02,6557.01,01:49:16:02,01:49:17:01
8569,5253646087419594905.xml,1960,6557.02,6558.15,01:49:17:02,01:49:18:15
8570,5253646087419594905.xml,1961,6558.16,6560.18,01:49:18:16,01:49:20:18
8571,5253646087419594905.xml,1962,6560.19,6562.1,01:49:20:19,01:49:22:10
8572,5253646087419594905.xml,1963,6562.11,6565.06,01:49:22:11,01:49:25:06
8573,5253646087419594905.xml,1964,6565.07,6568.02,01:49:25:07,01:49:28:02
8574,5253646087419594905.xml,1965,6568.03,6570.13,01:49:28:03,01:49:30:13
8575,5253646087419594905.xml,1966,6570.14,6586.01,01:49:30:14,01:49:46:01
8576,5253646087419594905.xml,1967,6586.02,6609.04,01:49:46:02,01:50:09:04
8577,5253646087419594905.xml,1968,6609.05,6614.23,01:50:09:05,01:50:14:23
8578,5253646087419594905.xml,1969,6614.24,6618.12,01:50:14:24,01:50:18:12
8579,5253646087419594905.xml,1970,6618.13,6619.22,01:50:18:13,01:50:19:22
8580,5253646087419594905.xml,1971,6619.23,6621.05,01:50:19:23,01:50:21:05
8581,5253646087419594905.xml,1972,6621.06,6623.1,01:50:21:06,01:50:23:10
8582,5253646087419594905.xml,1973,6623.11,6624.2,01:50:23:11,01:50:24:20
8583,5253646087419594905.xml,1974,6624.21,6626.17,01:50:24:21,01:50:26:17
8584,5253646087419594905.xml,1975,6626.18,6629.19,01:50:26:18,01:50:29:19
8585,5253646087419594905.xml,1976,6629.2,6632.0,01:50:29:20,01:50:32:00
8586,5253646087419594905.xml,1977,6632.01,6634.13,01:50:32:01,01:50:34:13
8587,5253646087419594905.xml,1978,6634.14,6654.24,01:50:34:14,01:50:54:24
8588,5253646087419594905.xml,1979,6655.0,6656.16,01:50:55:00,01:50:56:16
8589,5253646087419594905.xml,1980,6656.17,6659.19,01:50:56:17,01:50:59:19
8590,5253646087419594905.xml,1981,6659.2,6670.07,01:50:59:20,01:51:10:07
8591,5253646087419594905.xml,1982,6670.08,6672.0,01:51:10:08,01:51:12:00
8592,5253646087419594905.xml,1983,6672.01,6673.01,01:51:12:01,01:51:13:01
8593,5253646087419594905.xml,1984,6673.02,6676.14,01:51:13:02,01:51:16:14
8594,5253646087419594905.xml,1985,6676.15,6678.18,01:51:16:15,01:51:18:18
8595,5253646087419594905.xml,1986,6678.19,6679.09,01:51:18:19,01:51:19:09
8596,5253646087419594905.xml,1987,6679.1,6681.14,01:51:19:10,01:51:21:14
8597,5253646087419594905.xml,1988,6681.15,6683.09,01:51:21:15,01:51:23:09
8598,5253646087419594905.xml,1989,6683.1,6685.01,01:51:23:10,01:51:25:01
8599,5253646087419594905.xml,1990,6685.02,6686.17,01:51:25:02,01:51:26:17
8600,5253646087419594905.xml,1991,6686.18,6688.05,01:51:26:18,01:51:28:05
8601,5253646087419594905.xml,1992,6688.06,6691.06,01:51:28:06,01:51:31:06
8602,5253646087419594905.xml,1993,6691.07,6692.1,01:51:31:07,01:51:32:10
8603,5253646087419594905.xml,1994,6692.11,6693.22,01:51:32:11,01:51:33:22
8604,5253646087419594905.xml,1995,6693.23,6695.03,01:51:33:23,01:51:35:03
8605,5253646087419594905.xml,1996,6695.04,6698.06,01:51:35:04,01:51:38:06
8606,5253646087419594905.xml,1997,6698.07,6699.14,01:51:38:07,01:51:39:14
8607,5253646087419594905.xml,1998,6699.15,6700.19,01:51:39:15,01:51:40:19
8608,5253646087419594905.xml,1999,6700.2,6702.1,01:51:40:20,01:51:42:10
8609,5253646087419594905.xml,2000,6702.11,6704.05,01:51:42:11,01:51:44:05
8610,5253646087419594905.xml,2001,6704.06,6707.0,01:51:44:06,01:51:47:00
8611,5253646087419594905.xml,2002,6707.01,6739.15,01:51:47:01,01:52:19:15
8612,5253646087419594905.xml,2003,6739.16,6742.16,01:52:19:16,01:52:22:16
8613,5253646087419594905.xml,2004,6742.17,6745.11,01:52:22:17,01:52:25:11
8614,5253646087419594905.xml,2005,6745.12,6748.1,01:52:25:12,01:52:28:10
8615,5253646087419594905.xml,2006,6748.11,6753.15,01:52:28:11,01:52:33:15
8616,5253646087419594905.xml,2007,6753.16,6757.17,01:52:33:16,01:52:37:17
8617,5253646087419594905.xml,2008,6757.18,6761.18,01:52:37:18,01:52:41:18
8618,5253646087419594905.xml,2009,6761.19,6764.02,01:52:41:19,01:52:44:02
8619,5253646087419594905.xml,2010,6764.03,6765.13,01:52:44:03,01:52:45:13
8620,5253646087419594905.xml,2011,6765.14,6769.01,01:52:45:14,01:52:49:01
8621,5253646087419594905.xml,2012,6769.02,6770.2,01:52:49:02,01:52:50:20
8622,5253646087419594905.xml,2013,6770.21,6772.17,01:52:50:21,01:52:52:17
8623,5253646087419594905.xml,2014,6772.18,6775.21,01:52:52:18,01:52:55:21
8624,5253646087419594905.xml,2015,6775.22,6778.08,01:52:55:22,01:52:58:08
8625,5253646087419594905.xml,2016,6778.09,6779.12,01:52:58:09,01:52:59:12
8626,5253646087419594905.xml,2017,6779.13,6780.24,01:52:59:13,01:53:00:24
8627,5253646087419594905.xml,2018,6781.0,6784.2,01:53:01:00,01:53:04:20
8628,5253646087419594905.xml,2019,6784.21,6787.1,01:53:04:21,01:53:07:10
8629,5253646087419594905.xml,2020,6787.11,6787.14,01:53:07:11,01:53:07:14
8630,5253646087419594905.xml,2021,6787.15,6788.1,01:53:07:15,01:53:08:10
8631,5253646087419594905.xml,2022,6788.11,6788.19,01:53:08:11,01:53:08:19
8632,5253646087419594905.xml,2023,6788.2,6790.13,01:53:08:20,01:53:10:13
8633,5253646087419594905.xml,2024,6790.14,6791.2,01:53:10:14,01:53:11:20
8634,5253646087419594905.xml,2025,6791.21,6794.11,01:53:11:21,01:53:14:11
8635,5253646087419594905.xml,2026,6794.12,6795.16,01:53:14:12,01:53:15:16
8636,5253646087419594905.xml,2027,6795.17,6796.21,01:53:15:17,01:53:16:21
8637,5253646087419594905.xml,2028,6796.22,6798.06,01:53:16:22,01:53:18:06
8638,5253646087419594905.xml,2029,6798.07,6800.11,01:53:18:07,01:53:20:11
8639,5253646087419594905.xml,2030,6800.12,6802.23,01:53:20:12,01:53:22:23
8640,5253646087419594905.xml,2031,6802.24,6804.08,01:53:22:24,01:53:24:08
8641,5253646087419594905.xml,2032,6804.09,6808.22,01:53:24:09,01:53:28:22
8642,5253646087419594905.xml,2033,6808.23,6810.07,01:53:28:23,01:53:30:07
8643,5253646087419594905.xml,2034,6810.08,6811.23,01:53:30:08,01:53:31:23
8644,5253646087419594905.xml,2035,6811.24,6813.12,01:53:31:24,01:53:33:12
8645,5253646087419594905.xml,2036,6813.13,6814.2,01:53:33:13,01:53:34:20
8646,5253646087419594905.xml,2037,6814.21,6816.04,01:53:34:21,01:53:36:04
8647,5253646087419594905.xml,2038,6816.05,6816.19,01:53:36:05,01:53:36:19
8648,5253646087419594905.xml,2039,6816.2,6818.01,01:53:36:20,01:53:38:01
8649,5253646087419594905.xml,2040,6818.02,6818.21,01:53:38:02,01:53:38:21
8650,5253646087419594905.xml,2041,6818.22,6820.0,01:53:38:22,01:53:40:00
8651,5253646087419594905.xml,2042,6820.01,6823.07,01:53:40:01,01:53:43:07
8652,5253646087419594905.xml,2043,6823.08,6825.14,01:53:43:08,01:53:45:14
8653,5253646087419594905.xml,2044,6825.15,6830.17,01:53:45:15,01:53:50:17
8654,5253646087419594905.xml,2045,6830.18,6831.16,01:53:50:18,01:53:51:16
8655,5253646087419594905.xml,2046,6831.17,6843.19,01:53:51:17,01:54:03:19
8656,5253646087419594905.xml,2047,6843.2,6845.02,01:54:03:20,01:54:05:02
8657,5253646087419594905.xml,2048,6845.03,6870.0,01:54:05:03,01:54:30:00
8658,5253646087419594905.xml,2049,6870.01,6870.07,01:54:30:01,01:54:30:07
8659,5253646087419594905.xml,2050,6870.08,6872.01,01:54:30:08,01:54:32:01
8660,5253646087419594905.xml,2051,6872.02,6873.09,01:54:32:02,01:54:33:09
8661,5253646087419594905.xml,2052,6873.1,6874.15,01:54:33:10,01:54:34:15
8662,5253646087419594905.xml,2053,6874.16,6876.07,01:54:34:16,01:54:36:07
8663,5253646087419594905.xml,2054,6876.08,6877.17,01:54:36:08,01:54:37:17
8664,5253646087419594905.xml,2055,6877.18,6878.13,01:54:37:18,01:54:38:13
8665,5253646087419594905.xml,2056,6878.14,6881.18,01:54:38:14,01:54:41:18
8666,5253646087419594905.xml,2057,6881.19,6883.09,01:54:41:19,01:54:43:09
8667,5253646087419594905.xml,2058,6883.1,6884.08,01:54:43:10,01:54:44:08
8668,5253646087419594905.xml,2059,6884.09,6888.19,01:54:44:09,01:54:48:19
8669,5253646087419594905.xml,2060,6888.2,6890.21,01:54:48:20,01:54:50:21
8670,5253646087419594905.xml,2061,6890.22,6892.01,01:54:50:22,01:54:52:01
8671,5253646087419594905.xml,2062,6892.02,6893.2,01:54:52:02,01:54:53:20
8672,5253646087419594905.xml,2063,6893.21,6895.02,01:54:53:21,01:54:55:02
8673,5253646087419594905.xml,2064,6895.03,6896.04,01:54:55:03,01:54:56:04
8674,5253646087419594905.xml,2065,6896.05,6900.0,01:54:56:05,01:55:00:00
8675,5253646087419594905.xml,2066,6900.01,6902.07,01:55:00:01,01:55:02:07
8676,5253646087419594905.xml,2067,6902.08,6902.11,01:55:02:08,01:55:02:11
8677,5253646087419594905.xml,2068,6902.12,6904.13,01:55:02:12,01:55:04:13
8678,5253646087419594905.xml,2069,6904.14,6905.01,01:55:04:14,01:55:05:01
8679,5253646087419594905.xml,2070,6905.02,6905.1,01:55:05:02,01:55:05:10
8680,5253646087419594905.xml,2071,6905.11,6907.09,01:55:05:11,01:55:07:09
8681,5253646087419594905.xml,2072,6907.1,6908.15,01:55:07:10,01:55:08:15
8682,5253646087419594905.xml,2073,6908.16,6909.21,01:55:08:16,01:55:09:21
8683,5253646087419594905.xml,2074,6909.22,6914.22,01:55:09:22,01:55:14:22
8684,5253646087419594905.xml,2075,6914.23,6918.14,01:55:14:23,01:55:18:14
8685,5253646087419594905.xml,2076,6918.15,6920.05,01:55:18:15,01:55:20:05
8686,5253646087419594905.xml,2077,6920.06,6920.1,01:55:20:06,01:55:20:10
8687,5253646087419594905.xml,2078,6920.11,6921.18,01:55:20:11,01:55:21:18
8688,5253646087419594905.xml,2079,6921.19,6922.06,01:55:21:19,01:55:22:06
8689,5253646087419594905.xml,2080,6922.07,6922.22,01:55:22:07,01:55:22:22
8690,5253646087419594905.xml,2081,6922.23,6923.14,01:55:22:23,01:55:23:14
8691,5253646087419594905.xml,2082,6923.15,6923.17,01:55:23:15,01:55:23:17
8692,5253646087419594905.xml,2083,6923.18,6923.21,01:55:23:18,01:55:23:21
8693,5253646087419594905.xml,2084,6923.22,6924.02,01:55:23:22,01:55:24:02
8694,5253646087419594905.xml,2085,6924.03,6924.17,01:55:24:03,01:55:24:17
8695,5253646087419594905.xml,2086,6924.18,6925.05,01:55:24:18,01:55:25:05
8696,5253646087419594905.xml,2087,6925.06,6925.17,01:55:25:06,01:55:25:17
8697,5253646087419594905.xml,2088,6925.18,6925.21,01:55:25:18,01:55:25:21
8698,5253646087419594905.xml,2089,6925.22,6926.0,01:55:25:22,01:55:26:00
8699,5253646087419594905.xml,2090,6926.01,6926.18,01:55:26:01,01:55:26:18
8700,5253646087419594905.xml,2091,6926.19,6926.23,01:55:26:19,01:55:26:23
8701,5253646087419594905.xml,2092,6926.24,6927.13,01:55:26:24,01:55:27:13
8702,5253646087419594905.xml,2093,6927.14,6927.17,01:55:27:14,01:55:27:17
8703,5253646087419594905.xml,2094,6927.18,6927.2,01:55:27:18,01:55:27:20
8704,5253646087419594905.xml,2095,6927.21,6928.03,01:55:27:21,01:55:28:03
8705,5253646087419594905.xml,2096,6928.04,6928.1,01:55:28:04,01:55:28:10
8706,5253646087419594905.xml,2097,6928.11,6928.15,01:55:28:11,01:55:28:15
8707,5253646087419594905.xml,2098,6928.16,6930.02,01:55:28:16,01:55:30:02
8708,5253646087419594905.xml,2099,6930.03,6930.07,01:55:30:03,01:55:30:07
8709,5253646087419594905.xml,2100,6930.08,6934.09,01:55:30:08,01:55:34:09
8710,5253646087419594905.xml,2101,6934.1,6938.03,01:55:34:10,01:55:38:03
8711,5253646087419594905.xml,2102,6938.04,6948.15,01:55:38:04,01:55:48:15
8712,5256228221757951173.xml,1,0.0,11.01,00:00:00:00,00:00:11:01
8713,5256228221757951173.xml,2,11.02,14.0,00:00:11:02,00:00:14:00
8714,5256228221757951173.xml,3,14.01,36.07,00:00:14:01,00:00:36:07
8715,5256228221757951173.xml,4,36.08,49.06,00:00:36:08,00:00:49:06
8716,5256228221757951173.xml,5,49.07,51.19,00:00:49:07,00:00:51:19
8717,5256228221757951173.xml,6,51.2,54.2,00:00:51:20,00:00:54:20
8718,5256228221757951173.xml,7,54.21,62.15,00:00:54:21,00:01:02:15
8719,5256228221757951173.xml,8,62.16,64.2,00:01:02:16,00:01:04:20
8720,5256228221757951173.xml,9,64.21,75.23,00:01:04:21,00:01:15:23
8721,5256228221757951173.xml,10,75.24,78.13,00:01:15:24,00:01:18:13
8722,5256228221757951173.xml,11,78.14,80.17,00:01:18:14,00:01:20:17
8723,5256228221757951173.xml,12,80.18,82.06,00:01:20:18,00:01:22:06
8724,5256228221757951173.xml,13,82.07,83.18,00:01:22:07,00:01:23:18
8725,5256228221757951173.xml,14,83.19,85.04,00:01:23:19,00:01:25:04
8726,5256228221757951173.xml,15,85.05,87.06,00:01:25:05,00:01:27:06
8727,5256228221757951173.xml,16,87.07,87.21,00:01:27:07,00:01:27:21
8728,5256228221757951173.xml,17,87.22,90.24,00:01:27:22,00:01:30:24
8729,5256228221757951173.xml,18,91.0,92.17,00:01:31:00,00:01:32:17
8730,5256228221757951173.xml,19,92.18,95.1,00:01:32:18,00:01:35:10
8731,5256228221757951173.xml,20,95.11,96.2,00:01:35:11,00:01:36:20
